Application_Landscape_Name,Application_Landscape_SysID,Configuration_Item_Name,Configuration_Item_SysID,Configuration_Item_Class,Configuration_Item_Environment,Configuration_Item_Install_Status,Configuration_Item_Availability_Group,Configuration_Item_Service_Variant_ID
JANUS_DEV,12bdd7b38761e110fc17cb790cbb35a4,by0w5g,d1238f6ddb9eff40f72c4925059619bb,Windows Server,Development,Installed,Classical Compute (Compute & Storage),Managed virtual OS SA2 DR1
JANUS_DEV,12bdd7b38761e110fc17cb790cbb35a4,BY0S2Z\COPDEV COP_JANUS_STAGE,bd67bfd31b6ebc543fd842609b4bcb76,Database,Production,Installed,Classical Non-Compute (Classical Platform / DB / Streaming),Old Classical Database SA2 DR1
JANUS_DEV,12bdd7b38761e110fc17cb790cbb35a4,BY0S2Z\COPDEV COP_JANUS_REP,f967bfd31b6ebc543fd842609b4bcbbf,Database,Production,Installed,Classical Non-Compute (Classical Platform / DB / Streaming),Old Classical Database SA2 DR1
JANUS_DEV,12bdd7b38761e110fc17cb790cbb35a4,BY0S2Z\COPDEV COP_JANUS,7d67bfd31b6ebc543fd842609b4bcbbb,Database,Production,Installed,Classical Non-Compute (Classical Platform / DB / Streaming),Old Classical Database SA2 DR1
JANUS_DEV,12bdd7b38761e110fc17cb790cbb35a4,by0s2z,3c638321dbdeff40f72c4925059619ff,Windows Server,Development,Installed,Classical Compute (Compute & Storage),Managed virtual OS SA2 DR1
SAP Solution Manager (OJ2) - Dev - (JJ1),5286a89b1bf174d0b1817448cd4bcb4a,byde223r17n,8bb1637d1b680d9c2fac20a6bb4bcb1b,Linux Server,Development,Installed,Classical Compute (Compute & Storage),Managed virtual OS SA2 DR1
SAP Solution Manager (OJ2) - Dev - (JJ1),5286a89b1bf174d0b1817448cd4bcb4a,byde223cwql,b4e163e397af31d0b14df3c3f153af56,Linux Server,Development,Installed,Classical Compute (Compute & Storage),Managed virtual OS SA2 DR1
SAP Solution Manager (OJ2) - Dev - (JJ1),5286a89b1bf174d0b1817448cd4bcb4a,JJ1.SAP,23b07ebddb16730014802b65059619cd,Application,Development,Installed,A_ERPBasis_NonProducticSystems,AS-TAS-ERP-NP_CG
SAP Solution Manager (OJ2) - Dev - (JJ1),5286a89b1bf174d0b1817448cd4bcb4a,byde223e6jc,4ab1237d1b680d9c2fac20a6bb4bcb95,Linux Server,Development,Installed,Classical Compute (Compute & Storage),Managed virtual OS SA2 DR1
SAP Solution Manager (OJ2) - Dev - (JJ1),5286a89b1bf174d0b1817448cd4bcb4a,JJ1.SAP.DB,afb4e5f41b53a890399f1065bb4bcb37,Database Instance,Development,Installed,A_ERPBasis_NonProducticSystems,AS-TAS-ERP-NP_CG
TrialTool SVN-TEST/DEV,abfe35e31bb43454b1817448cd4bcb4d,MSSQLSERVER\BYDE2793BKL BackupTest,4f0cb83f1b854a508d670d0ee54bcb46,Database,Production,Installed,Classical Non-Compute (Classical Platform / DB / Streaming),Managed Classical Database SA2 DR1
TrialTool SVN-TEST/DEV,abfe35e31bb43454b1817448cd4bcb4d,byde279jl2f,ba75e2391b46255073957739cd4bcb89,Windows Server,Development,Installed,Classical Compute (Compute & Storage),Managed virtual OS SA2 DR1
TrialTool SVN-TEST/DEV,abfe35e31bb43454b1817448cd4bcb4d,byde2793bkl,45868442c3e43958aadc14c4e401319e,Windows Server,Development,Installed,Classical Compute (Compute & Storage),Managed virtual OS SA2 DR1
